COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,2017 Adjusted Cohort Grad Rate,2016 Adjusted Cohort Grad Rate,2015 Adjusted Cohort Grad Rate,2014 Adjusted Cohort Grad Rate
03,BERGEN,3170,MIDLAND PARK BORO,050,Midland Park Jr./Sr. High School,S,95.00,96.30,96.34,93.15
03,BERGEN,3170,MIDLAND PARK BORO,999,,D,95.00,96.30,96.34,93.15
03,BERGEN,3550,NEW MILFORD BORO,050,NEW MILFORD HIGH SCHOOL,S,98.17,91.76,99.29,97.08
03,BERGEN,3550,NEW MILFORD BORO,999,,D,98.17,91.76,99.29,97.08
03,BERGEN,3600,NORTH ARLINGTON BORO,050,North Arlington High School,S,95.00,97.73,96.69,93.70
03,BERGEN,3600,NORTH ARLINGTON BORO,999,,D,95.00,97.73,96.69,93.70
03,BERGEN,3700,NORTHERN HIGHLANDS REG,050,Northern Highlands Regional High School,S,98.88,98.83,97.58,98.21
03,BERGEN,3700,NORTHERN HIGHLANDS REG,999,,D,98.88,98.83,97.58,98.21
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,050,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,S,99.17,96.92,98.41,96.36
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,060,Northern Valley Regional High School at Old Tappan,S,99.36,96.17,98.11,96.57
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,999,,D,99.28,96.51,98.26,96.47
03,BERGEN,3910,PALISADES PARK,050,Palisades Park Jr-Sr High School,S,85.32,87.10,89.81,88.10
03,BERGEN,3910,PALISADES PARK,999,,D,85.32,87.10,89.81,88.10
03,BERGEN,3930,PARAMUS BORO,050,Paramus High School,S,96.78,97.95,95.44,95.33
03,BERGEN,3930,PARAMUS BORO,999,,D,96.78,97.95,95.44,95.33
03,BERGEN,3940,PARK RIDGE BORO,050,Park Ridge High School,S,97.00,97.20,98.02,99.10
03,BERGEN,3940,PARK RIDGE BORO,999,,D,97.00,97.20,98.02,99.10
03,BERGEN,3960,PASCACK VALLEY REGIONAL,040,PASCACK HILLS HIGH SCHOOL,S,96.23,97.87,98.07,98.98
03,BERGEN,3960,PASCACK VALLEY REGIONAL,050,PASCACK VALLEY HIGH SCHOOL,S,97.97,98.71,96.78,97.50
03,BERGEN,3960,PASCACK VALLEY REGIONAL,999,,D,97.20,98.39,97.30,98.02
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,030,INDIAN HILLS HIGH SCHOOL,S,96.37,96.14,95.80,96.10
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,050,RAMAPO HIGH SCHOOL,S,98.35,98.30,99.32,98.36
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,999,,D,97.36,97.03,97.59,97.22
03,BERGEN,4310,RAMSEY BORO,050,RAMSEY HIGH SCHOOL,S,95.95,98.67,97.84,97.61
03,BERGEN,4310,RAMSEY BORO,999,,D,95.95,98.67,97.84,97.61
03,BERGEN,4370,RIDGEFIELD BORO,050,Ridgefield Memorial High School,S,84.06,91.54,89.51,88.51
03,BERGEN,4370,RIDGEFIELD BORO,100,Slocum Skewes School,S,-,,,
03,BERGEN,4370,RIDGEFIELD BORO,999,,D,82.27,91.54,89.51,88.51
03,BERGEN,4380,RIDGEFIELD PARK TWP,050,Ridgefield Park Jr Sr High School,S,93.62,92.06,92.80,91.27
03,BERGEN,4380,RIDGEFIELD PARK TWP,999,,D,93.62,92.06,92.80,91.27
03,BERGEN,4390,RIDGEWOOD VILLAGE,050,Ridgewood High School,S,97.44,95.64,97.42,97.89
03,BERGEN,4390,RIDGEWOOD VILLAGE,999,,D,97.44,95.64,97.42,97.89
03,BERGEN,4405,RIVER DELL REGIONAL,050,River Dell Regional High School,S,98.59,96.59,98.61,97.11
03,BERGEN,4405,RIVER DELL REGIONAL,999,,D,98.59,96.59,98.61,97.11
03,BERGEN,4600,RUTHERFORD BORO,050,Rutherford High School,S,90.43,93.75,94.66,95.96
03,BERGEN,4600,RUTHERFORD BORO,999,,D,90.43,93.75,94.66,95.96
03,BERGEN,4610,SADDLE BROOK TWP,050,SADDLE BROOK MIDDLE/HIGH SCHOOL,S,93.42,93.85,92.62,87.01
03,BERGEN,4610,SADDLE BROOK TWP,999,,D,93.42,93.85,92.62,87.01
03,BERGEN,5150,TEANECK TWP,050,Teaneck High School,S,88.77,92.37,90.15,91.33
03,BERGEN,5150,TEANECK TWP,999,,D,88.77,92.37,90.15,91.33
03,BERGEN,5160,TENAFLY BORO,050,TENAFLY HIGH SCHOOL,S,98.58,98.36,97.01,98.26
03,BERGEN,5160,TENAFLY BORO,999,,D,98.58,98.36,97.01,98.26
03,BERGEN,5410,WALDWICK BORO,030,Waldwick High School,S,95.50,94.83,96.52,91.73
03,BERGEN,5410,WALDWICK BORO,999,,D,95.50,94.83,96.52,91.73
03,BERGEN,5430,WALLINGTON BORO,050,WALLINGTON JUNIOR SENIOR HIGH SCHOOL,S,94.85,95.92,95.92,87.50
03,BERGEN,5430,WALLINGTON BORO,999,,D,94.85,95.92,95.92,87.50
03,BERGEN,5755,WESTWOOD REGIONAL,050,WESTWOOD JUNIONR/SENIOR HIGH SCHOOL,S,98.40,96.24,96.73,92.97
03,BERGEN,5755,WESTWOOD REGIONAL,999,,D,98.40,96.24,96.73,92.97
03,BERGEN,5830,WOOD-RIDGE BORO,050,Wood-Ridge Jr/Sr High School,S,95.40,87.74,91.53,90.53
03,BERGEN,5830,WOOD-RIDGE BORO,999,,D,95.40,87.74,91.53,90.53
05,BURLINGTON,0475,BORDENTOWN REGIONAL,050,Bordentown Regional High School,S,89.56,93.19,88.48,90.96
05,BURLINGTON,0475,BORDENTOWN REGIONAL,999,,D,89.56,93.19,88.48,90.96
05,BURLINGTON,0600,BURLINGTON CITY,020,Bulington City High School,S,85.82,86.71,78.47,82.22
05,BURLINGTON,0600,BURLINGTON CITY,999,,D,85.82,86.71,78.47,82.22
